0.15401301	1869.7356
0.1626898	1857.9836
0.1724512	1842.9674
0.18655097	1825.3395
0.20498915	1802.4885
0.22125813	1782.9021
0.23861171	1763.3156
0.2548807	1743.729
0.27874187	1723.4896
0.29718006	1703.2502
0.32321042	1681.7051
0.34164858	1664.0773
0.36117136	1649.0609
0.38394794	1632.0859
0.40347072	1616.4167
0.43167028	1598.136
0.45444685	1583.1198
0.47722343	1568.7562
0.50867677	1551.1284
0.54121476	1534.1534
0.57266814	1519.1371
0.6008677	1504.1207
0.637744	1488.4515
0.664859	1476.0468
0.6995662	1461.6833
0.7418655	1446.667
0.78199565	1430.345
0.81453365	1419.8988
0.856833	1404.2296
0.90021694	1390.519
0.9251627	1382.6844
0.9609544	1371.5854
0.97722346	1367.0153
0.9902386	1362.4451
0.9945770   1366.3623
