0.45227766	1866.4712
0.46637744	1857.9836
0.4815618	1846.2318
0.4989154	1836.4385
0.5151844	1825.3395
0.5314534	1811.6289
0.54880697	1801.1829
0.56507593	1786.8193
0.5856833	1772.4559
0.60195225	1759.3983
0.61930585	1743.729
0.6334056	1732.63
0.64859	1722.1838
0.66377443	1709.1262
0.67353576	1699.9858
0.69088936	1685.6224
0.7071583	1669.3003
0.72559655	1653.6311
0.7407809	1639.2677
0.7527115	1627.5157
0.7678959	1611.8466
0.7809111	1596.1774
0.79609543	1582.4668
0.80911064	1567.4504
0.8253796	1549.8226
0.8416486	1532.8477
0.86117136	1511.3025
0.87527114	1496.2861
0.89262474	1478.0055
0.9034707	1463.642
0.9360087	1425.7748
0.94902384	1413.37
0.9631236	1397.7008
0.9707158	1387.2546
0.9826464	1376.1556
